mean,var,skew,target
18.428797,54.60478,16.15561,0
28.28247,74.961334,8.52159,0
19.448172,73.630936,14.751285,0
18.862429,49.07592,10.414909,1
11.179507,31.297358,11.997244,0
23.765469,78.89889,12.3495455,0
19.401615,42.78742,7.987763,0
22.640985,64.09038,8.90132,1
25.712261,74.01076,9.93635,0
33.810547,68.85414,8.787235,0
26.040903,76.859665,10.234366,0
31.976955,67.64034,7.8301554,1
11.955076,36.201015,10.49747,0
22.742296,65.472435,10.192836,0
16.817343,38.933372,6.7908254,1
31.281115,96.6709,11.66418,1
23.13622,68.891914,10.112794,1
34.26515,66.20782,7.9889603,1
37.647408,97.30205,7.776804,0
23.34337,69.475914,14.834982,1
32.789993,77.24726,9.435225,0
23.557331,60.41192,8.124407,0
20.255129,82.90354,10.053309,1
40.56604,79.20366,8.127191,0
29.123924,79.38737,7.8224006,0
20.283604,60.254288,10.98703,0
17.123306,67.05085,18.078077,1
27.969034,62.75967,9.363659,1
24.32999,75.24352,13.042946,1
34.525364,83.452835,8.497542,1
18.923067,59.04997,10.226895,1
17.059284,58.697468,17.772379,1
35.205868,92.862366,9.442524,1
40.220745,104.80613,7.7740946,1
8.302402,31.995132,17.63609,0
34.77022,92.758835,9.206708,1
9.281258,28.195343,8.75584,0
18.396463,66.51348,15.241072,0
6.7779365,23.922949,11.079898,1
22.784937,79.05898,7.7652245,1
20.035137,62.114197,18.343578,1
17.678823,59.736317,12.540497,1
26.99096,77.16227,8.217498,0
26.946745,62.283604,6.765929,1
32.697186,98.35674,8.204084,1
38.340538,78.91866,7.452975,0
36.43098,98.700905,9.439079,1
35.192898,86.12565,7.7515287,0
15.51004,53.01163,15.05374,0
20.766386,77.334496,15.828925,0
22.908604,43.13374,8.677,0
15.2756405,47.11847,11.367878,0
38.965706,102.33986,9.0416765,1
36.144695,96.346825,7.808259,0
34.354164,87.623375,9.041943,1
17.91295,55.81845,15.504415,0
7.3808756,31.966827,17.96504,1
13.547447,43.588024,13.944711,0
26.332178,72.33028,11.973703,1
14.168938,39.19502,12.462958,0
23.738749,70.285225,10.358542,1
11.71177,28.623875,10.603712,0
13.251752,38.678246,10.763188,0
15.72682,38.761646,8.354609,1
11.424051,29.50973,13.8608465,1
21.222406,62.00854,9.44249,0
34.257023,82.288124,8.638413,0
35.89187,73.41367,7.5145082,1
31.630465,83.66999,11.276315,1
21.388216,72.26952,14.199579,1
16.006403,49.653687,11.966614,0
15.207097,28.145576,14.491732,0
20.34146,76.90765,14.163055,0
17.42347,56.992424,9.136141,0
19.77055,54.298817,9.055169,0
25.570791,65.395096,7.961023,1
18.256077,44.608932,10.243691,1
24.394674,76.57611,9.06406,0
36.468563,72.44524,9.12926,0
16.362928,35.811302,7.836751,1
6.232656,27.499392,15.929189,1
34.994442,78.02946,11.569449,1
19.30074,44.393402,8.46314,1
21.494062,66.25123,15.004486,1
22.276653,68.47499,12.199652,1
36.853027,83.66881,8.692462,1
25.0905,70.23651,10.837445,1
11.459278,32.04357,9.66584,0
39.949997,103.90543,7.49778,1
15.0525465,34.36312,13.323732,1
15.0473175,44.357346,11.937113,0
16.879284,45.621166,32.598656,1
11.698517,39.34258,28.706846,0
37.51547,112.114334,10.383006,0
20.238228,44.692116,13.195753,1
28.632908,65.28142,7.0640116,0
37.61641,83.78856,7.1429596,0
15.847752,37.486034,14.770714,1
17.823206,32.177467,4.136402,1
51.926945,116.992424,8.451343,0
22.166712,66.49507,11.738808,0
14.963239,31.430126,9.443902,1
42.979027,106.42915,8.946083,0
7.3505797,44.194664,20.31993,0
8.90245,35.5872,10.4689245,1
18.163269,49.818436,18.500843,1
20.72734,50.455463,12.664777,0
25.480732,69.97644,7.4044294,1
44.58506,90.51884,7.4310193,0
12.490983,50.422787,11.306259,1
28.927752,70.94103,9.938895,0
15.160889,67.49018,15.923521,0
12.802144,50.194675,12.95108,1
34.642025,77.8734,10.740892,0
34.183964,81.8503,8.766854,1
27.063034,78.25127,11.493953,1
18.61988,32.834488,5.119179,0
12.281073,32.963562,10.252205,0
19.687023,81.09015,15.558799,1
14.4491005,59.610416,11.834407,0
15.644068,63.149765,10.954794,1
21.181326,52.372894,9.677441,1
22.489988,70.047104,13.317608,0
20.857708,68.591934,9.469739,1
45.72942,110.63241,7.9610705,0
21.80616,46.091843,6.974881,0
32.83168,87.50963,12.08167,1
15.712086,51.938656,15.357586,1
22.251486,60.395813,10.466243,0
34.143066,65.416405,7.8742294,0
26.912895,86.08622,9.595362,0
17.293743,41.37969,14.704752,0
23.06321,70.91077,9.478773,0
27.348944,50.93958,7.9400353,1
15.549245,42.881836,16.036596,1
26.54515,75.17563,8.791902,0
36.226536,119.73384,8.885068,0
29.180899,81.9019,10.065282,0
19.03418,54.572582,11.006533,0
25.369534,76.02827,10.305234,0
36.901276,88.11258,9.395691,0
24.046972,73.49975,10.661443,1
18.8045,48.981983,10.447768,1
34.143066,65.416405,7.8742294,0
17.27305,49.941612,9.524504,1
18.663485,47.04626,15.388815,1
29.781055,81.18236,10.317611,1
9.340761,39.4492,16.842157,1
13.715243,64.99131,14.344726,1
15.2140045,49.171593,14.672488,1
19.810373,52.502075,12.785228,0
32.894333,81.44484,7.8862877,1
21.646938,56.511486,11.119197,0
33.9622,93.24421,10.969906,0
14.81832,34.497456,16.436203,1
9.380136,39.789703,15.435598,0
16.719833,53.144203,12.010327,1
17.670036,72.1636,12.820496,0
18.930067,49.240376,13.691375,1
9.51871,20.22856,6.2121167,1
35.78663,89.315,8.566289,0
24.716953,55.364864,10.596878,1
46.321873,125.57935,7.89346,0
14.908499,38.15478,8.2659025,0
16.168888,72.62659,12.762015,1
21.457989,50.056942,7.2200947,1
11.223635,42.890327,11.18536,0
17.145502,47.965984,14.737741,1
14.448544,54.2809,17.8065,1
16.358318,33.83949,7.942925,1
12.773701,36.04081,15.565074,0
11.878625,27.67105,11.876635,0
26.816425,78.99234,9.263934,1
29.450417,64.03792,6.547523,1
20.359207,53.950012,12.061976,1
28.997282,61.42344,8.045421,1
22.427021,71.99846,10.704695,1
7.6536613,29.427586,14.769546,0
20.596226,80.05384,15.546348,1
23.196812,77.78947,9.856533,0
10.8007345,43.19282,14.307505,0
15.985687,41.981937,11.1015215,0
14.704689,50.52422,10.45659,1
20.964306,39.13473,8.061728,0
23.385435,58.80971,10.377284,0
8.73953,42.644947,17.503084,1
24.358374,78.739586,10.53066,1
16.163858,53.99,17.247585,0
20.343132,63.813328,11.754833,0
23.913801,70.0681,9.669995,0
24.396706,46.76856,7.0953536,0
10.967402,30.840977,14.885544,0
19.809727,72.86029,9.608353,1
17.665619,46.826595,17.859735,1
11.718076,48.255608,18.812107,1
41.472645,89.63369,6.1068397,0
15.049445,26.078342,5.09432,1
44.891327,121.495674,8.649601,0
25.310074,79.34901,9.110305,1
17.278065,42.01713,13.704119,1
24.472137,79.833916,11.2947445,0
20.439848,49.508213,9.849123,1
31.976955,67.64034,7.8301554,0
20.066265,73.107315,15.395085,1
12.006626,58.38661,21.59509,0
34.257023,82.288124,8.638413,0
25.893295,76.142914,9.637904,1
32.375713,80.840324,11.7881,1
34.200733,74.759026,9.709921,1
8.929998,22.872866,9.489907,1
3.989063,14.997515,17.391964,0
12.316099,54.45029,12.715095,0
39.652805,95.75108,7.5683947,1
25.251041,79.2155,10.824548,0
15.32106,65.533195,14.109248,0
6.8399854,33.451145,24.615105,1
20.657677,57.38976,9.185225,1
43.7051,118.97426,7.087358,1
23.949083,73.97945,9.191789,1
20.349707,40.40998,11.405464,0
36.206146,110.8009,10.442426,1
12.47071,60.73035,18.127232,1
15.188054,46.691933,17.887701,0
31.769438,69.072945,8.650893,0
20.08503,61.779495,11.648856,1
26.830305,80.86756,8.810497,0
22.297686,57.78559,8.833623,0
17.340572,50.561237,11.591818,1
22.263662,83.16142,14.699846,0
13.730446,41.78887,15.081212,0
22.35341,87.20521,14.883364,1
29.987677,59.33761,6.199484,0
19.106894,54.05513,8.903513,0
16.90708,64.23639,14.562558,0
16.33729,38.90174,7.418729,1
20.290077,57.94598,11.386065,1
15.691131,51.046253,11.297174,0
14.4297285,38.19716,16.263102,1
34.257023,82.288124,8.638413,0
11.615605,31.225676,9.361844,0
13.869975,39.5908,10.705704,0
19.728413,73.573296,9.996147,0
17.547688,32.873585,9.581451,1
32.360493,91.51289,8.267678,1
10.3546915,37.899643,11.309439,0
16.332802,50.75499,9.515627,1
28.957521,82.982254,11.089782,0
15.990808,36.342766,7.433449,0
9.8099985,48.82861,14.783815,1
15.670077,41.50187,12.572356,1
